Date,Production_bbl,Operational_Days
2023-01-31,4862.19,30
2023-02-28,4838.4,30
2023-03-31,4502.84,30
2023-04-30,4461.44,30
2023-05-31,4409.98,30
2023-06-30,4364.89,30
2023-07-31,4240.53,30
2023-08-31,4245.12,30
2023-09-30,4017.15,30
2023-10-31,3784.77,30
2023-11-30,3662.62,30
2023-12-31,3622.48,30
2024-01-31,3368.42,30
2024-02-29,3479.25,30
2024-03-31,3211.3,30
2024-04-30,3100.49,30
2024-05-31,2991.29,30
2024-06-30,3009.91,30
2024-07-31,2987.38,30
2024-08-31,2759.56,30
2024-09-30,2716.14,30
2024-10-31,2570.12,30
2024-11-30,2567.81,30
2024-12-31,2624.01,30
